timestamps,words,terms,,,,,Marker
53004.256451106,1,A,233.7098388671875,178.0540008544922,247.63497924804688,228.85951232910156,0
53004.257513176,1,A,197.63412475585938,127.53905487060547,302.0838317871094,190.32510375976562,0
53004.258942511,1,A,161.7372283935547,233.66513061523438,266.7233581542969,184.82656860351562,0
53004.25947715,1,A,150.82957458496094,138.3572998046875,213.61561584472656,163.2794952392578,0
53004.260954406,1,A,197.41061401367188,180.1103515625,277.9439392089844,207.2230224609375,0
53004.26140189,1,A,161.82662963867188,166.92282104492188,283.5765686035156,190.01217651367188,0
53004.262578182,1,A,239.65541076660156,186.2347412109375,277.45220947265625,163.81593322753906,0
53004.26289951,1,A,258.5649719238281,175.55059814453125,301.1450500488281,208.7876434326172,0
53004.263763358,1,A,349.0448303222656,229.10537719726562,342.7640075683594,284.0683288574219,0
53004.264079155,1,A,396.34112548828125,307.3811950683594,396.5870056152344,303.0672912597656,0
53004.307128165,1,A,311.046875,241.6223602294922,341.2887878417969,221.7516632080078,0
53004.308553592,1,A,347.8378601074219,228.9712677001953,328.0118408203125,283.80010986328125,0
53004.314116837,1,A,386.5510559082031,215.24729919433594,330.02349853515625,268.33270263671875,0
53004.316089013,1,A,377.163330078125,261.6048278808594,389.3003234863281,285.5435485839844,0
53004.321584722,1,A,290.1256408691406,229.5971221923828,332.97393798828125,188.7157745361328,0
53004.323073321,1,A,292.49493408203125,249.49017333984375,351.21295166015625,293.9477844238281,0
53004.326545603,1,A,367.95440673828125,209.52525329589844,351.3023681640625,241.01885986328125,0
53004.327744266,1,A,305.7271728515625,209.8381805419922,261.3142395019531,185.40771484375,0
53004.35572436,1,A,340.282958984375,285.7893981933594,323.4073791503906,251.4347686767578,0
53004.356538939,1,A,326.1566467285156,234.60391235351562,343.881591796875,196.00244140625,0
53004.3585199,1,A,285.2529602050781,284.9847412109375,306.9565124511719,213.16859436035156,0
53004.359212725,1,A,302.46380615234375,226.5125732421875,391.89312744140625,277.5416259765625,0
53004.361010187,1,A,322.1333312988281,284.1353759765625,341.6017150878906,218.89064025878906,0
53004.361686788,1,A,294.9089050292969,244.1704559326172,294.9759826660156,289.209228515625,0
53004.363639782,1,A,276.3569641113281,205.01019287109375,335.29852294921875,266.9468688964844,0
53004.36432486,1,A,344.21685791015625,278.9050598144531,342.7640075683594,263.9964599609375,0
53004.366259504,1,A,327.6318664550781,253.64759826660156,326.00018310546875,313.6173400878906,0
53004.367326047,1,A,266.96923828125,164.3300323486328,285.4541320800781,248.8866729736328,0
53004.369705272,1,A,314.1761169433594,253.02174377441406,381.2536926269531,282.77191162109375,0
53004.370520599,1,A,401.1690979003906,310.9127502441406,364.6239929199219,330.1129150390625,0
53004.409261402,1,A,310.0187072753906,274.4347229003906,381.7454528808594,299.8933410644531,0
53004.410909734,1,A,320.70281982421875,191.28622436523438,333.6891784667969,333.4656677246094,0
53004.415012015,1,A,349.31304931640625,278.6368408203125,307.8058776855469,290.5503234863281,0
53004.416190289,1,A,289.5892028808594,247.03147888183594,352.8222961425781,229.21713256835938,0
53004.419024982,1,A,325.4861145019531,259.324951171875,290.8632507324219,259.0790710449219,0
53004.420162793,1,A,295.802978515625,259.7272644042969,333.5103759765625,261.0460205078125,0
53004.423485627,1,A,330.8058166503906,235.4085693359375,340.5735168457031,196.6282958984375,0
53004.424672829,1,A,237.37551879882812,181.7196807861328,332.7951354980469,228.3230743408203,0
53004.457084588,1,A,358.1196594238281,283.911865234375,351.52587890625,330.9622802734375,0
53004.45843626,1,A,331.9681091308594,231.74288940429688,350.58709716796875,315.6289978027344,0
53004.462676476,1,A,358.3431701660156,214.26382446289062,344.5074462890625,261.98480224609375,0
53004.463793234,1,A,276.6698913574219,271.8419189453125,335.9690856933594,261.0460205078125,0
53004.467861053,1,A,288.3374938964844,238.89544677734375,366.8144836425781,286.9293518066406,0
53004.469480284,1,A,316.67950439453125,284.44830322265625,281.609619140625,301.94970703125,0
53004.473933127,1,A,322.893310546875,253.0664520263672,327.2966003417969,218.08596801757812,0
53004.47489985,1,A,314.6678466796875,275.462890625,339.5900573730469,276.0216979980469,0
53004.477721799,1,A,353.96221923828125,221.2822723388672,307.9399719238281,257.78265380859375,0
53004.478719716,1,A,296.2500305175781,192.2696990966797,300.74273681640625,182.27847290039062,0
53004.48026219,1,A,332.2810363769531,250.7418670654297,301.100341796875,225.90908813476562,0
53004.480715614,1,A,351.280029296875,227.58546447753906,394.1730041503906,266.8127746582031,0
53004.505227362,1,A,324.90496826171875,256.9556579589844,285.811767578125,295.7359313964844,0
53004.505881835,1,A,350.7435607910156,270.23260498046875,339.32183837890625,250.227783203125,0
53004.507161425,1,A,345.5132751464844,272.0654296875,350.58709716796875,230.37942504882812,0
53004.507659146,1,A,318.2888488769531,216.09666442871094,385.6346435546875,195.7789306640625,0
53004.50886905,1,A,290.4832763671875,247.5679168701172,342.27227783203125,271.55133056640625,0
53004.509377619,1,A,341.22174072265625,252.08297729492188,337.2654724121094,295.3782958984375,0
53004.510917336,1,A,319.94287109375,231.07232666015625,292.606689453125,271.1490173339844,0
53004.511472725,1,A,269.7408447265625,178.1881103515625,331.90106201171875,260.7778015136719,0
53004.557063802,1,A,357.13616943359375,296.96527099609375,356.3538513183594,278.4356689453125,0
53004.558617193,1,A,331.6551818847656,276.0440368652344,383.84649658203125,297.79229736328125,0
53004.562127531,1,A,337.7795715332031,293.0760803222656,379.6443786621094,250.71951293945312,0
53004.563462493,1,A,335.6784973144531,273.7194519042969,340.2606201171875,287.64459228515625,0
53004.5666852,1,A,357.8067321777344,254.5416717529297,348.03900146484375,214.91201782226562,0
53004.567843485,1,A,324.27911376953125,313.50555419921875,324.1226501464844,203.78085327148438,0
53004.571994313,1,A,292.1372985839844,218.0189208984375,301.5473937988281,208.29591369628906,0
53004.573613878,1,A,297.2781982421875,236.57086181640625,343.97100830078125,317.2383117675781,0
53004.577018397,1,A,312.74560546875,256.9556579589844,343.479248046875,283.6659851074219,0
53004.578292865,1,A,273.9876708984375,183.46311950683594,248.126708984375,205.92662048339844,0
