timestamps,words,terms,,,,,Marker
53365.615533058,1,A,278.5921325683594,169.8061981201172,303.4249267578125,212.83331298828125,0
53365.662008147,1,A,255.92747497558594,185.00538635253906,249.5125274658203,187.53114318847656,0
53365.662795244,1,A,236.70497131347656,163.77122497558594,250.98773193359375,200.18222045898438,0
53365.665084841,1,A,248.99842834472656,146.38157653808594,315.94189453125,225.5738067626953,0
53365.665774088,1,A,251.3677215576172,179.95388793945312,322.0215759277344,204.56317138671875,0
53365.66804171,1,A,223.42803955078125,172.53311157226562,242.0470428466797,137.06089782714844,0
53365.668732133,1,A,272.8700866699219,222.24339294433594,274.814697265625,210.8216552734375,0
53365.670978632,1,A,176.4893798828125,188.67108154296875,258.721435546875,193.96844482421875,0
53365.671665926,1,A,212.83331298828125,173.2483673095703,278.74859619140625,161.60311889648438,0
53365.673941788,1,A,238.0907745361328,190.4145050048828,243.43284606933594,208.3629608154297,0
53365.674704342,1,A,270.3219909667969,165.15704345703125,297.5240783691406,233.6204376220703,0
53365.710916892,1,A,215.42611694335938,162.3854217529297,248.57374572753906,209.61465454101562,0
53365.711395405,1,A,225.21617126464844,196.40478515625,279.9555969238281,184.58070373535156,0
53365.712515871,1,A,272.2442626953125,167.3028106689453,234.80506896972656,166.0287628173828,0
53365.712956675,1,A,200.2269287109375,146.24746704101562,298.9098815917969,169.87326049804688,0
53365.714159151,1,A,241.30943298339844,187.6428985595703,236.14617919921875,150.82957458496094,0
53365.714603883,1,A,259.45904541015625,220.142333984375,278.614501953125,168.48745727539062,0
53365.715753404,1,A,266.0751647949219,193.27552795410156,262.83416748046875,147.70033264160156,0
53365.716192374,1,A,237.6437530517578,178.38926696777344,288.2257385253906,97.58771514892578,0
53365.717496794,1,A,262.85650634765625,221.39402770996094,274.9934997558594,161.3795928955078,0
53365.71797873,1,A,300.899169921875,174.5000762939453,291.84674072265625,167.28045654296875,0
53365.760654159,1,A,262.320068359375,198.86346435546875,297.3452453613281,130.57888793945312,0
53365.761077529,1,A,249.13253784179688,165.8275909423828,279.2403564453125,237.19671630859375,0
53365.762267362,1,A,244.3939666748047,205.4348907470703,280.313232421875,244.75160217285156,0
53365.762691207,1,A,236.66026306152344,166.14051818847656,227.02667236328125,168.88978576660156,0
53365.763814295,1,A,251.725341796875,213.39210510253906,221.3493194580078,169.73915100097656,0
53365.764255034,1,A,276.8934020996094,212.67684936523438,288.35986328125,219.8517608642578,0
53365.765367649,1,A,235.45327758789062,186.21238708496094,243.29873657226562,180.42327880859375,0
53365.765948407,1,A,247.52322387695312,207.75946044921875,301.4579772949219,164.3300323486328,0
53365.7676934,1,A,252.4853057861328,152.0589141845703,294.84185791015625,166.29698181152344,0
53365.768197741,1,A,248.9537353515625,216.0296173095703,235.29681396484375,213.4591522216797,0
53365.810910569,1,A,234.335693359375,213.25799560546875,251.65829467773438,211.98394775390625,0
53365.811380576,1,A,258.0732421875,196.2706756591797,266.8127746582031,188.7828369140625,0
53365.812494804,1,A,266.7457275390625,135.6974334716797,292.606689453125,163.34654235839844,0
53365.812905828,1,A,255.16751098632812,187.6428985595703,245.89154052734375,147.1191864013672,0
53365.81418788,1,A,240.68357849121094,159.16677856445312,228.85951232910156,148.05795288085938,0
53365.814634684,1,A,269.3385314941406,173.29307556152344,247.8137969970703,203.04324340820312,0
53365.815821797,1,A,267.5950927734375,232.97222900390625,250.3171844482422,192.76144409179688,0
53365.816262694,1,A,298.7981262207031,207.26773071289062,236.99554443359375,164.73236083984375,0
53365.860627947,1,A,279.79913330078125,203.8255615234375,277.0945739746094,188.96165466308594,0
53365.861039861,1,A,247.5679168701172,196.31536865234375,264.1752624511719,152.8412322998047,0
53365.862237808,1,A,286.37054443359375,126.22029876708984,256.7991943359375,128.20960998535156,0
53365.862671962,1,A,267.37158203125,177.8975372314453,231.13938903808594,191.1968231201172,0
53365.864369465,1,A,91.88802337646484,112.42927551269531,192.3814697265625,115.62557220458984,0
53365.865492287,1,A,53.53242874145508,111.22228240966797,137.70909118652344,150.9413299560547,0
53365.865969298,1,A,94.79374694824219,104.69557189941406,194.3037109375,176.95875549316406,0
53365.867087337,1,A,114.32917022705078,133.3505096435547,148.7508544921875,112.67514038085938,0
53365.867641062,1,A,56.30404281616211,144.97341918945312,141.1065673828125,143.7887725830078,0
53365.868783919,1,A,104.36029815673828,96.8277587890625,142.85000610351562,227.87603759765625,0
53365.869223822,1,A,84.60135650634766,169.02389526367188,204.6749267578125,176.064697265625,0
53365.910655409,1,A,81.24858856201172,87.44002532958984,135.384521484375,90.7257308959961,0
53365.911073763,1,A,69.75979614257812,107.37777709960938,212.3192138671875,115.13383483886719,0
53365.912083361,1,A,128.14254760742188,105.67904663085938,211.06752014160156,129.1707305908203,0
53365.912476888,1,A,126.04148864746094,113.68096923828125,188.08993530273438,175.03651428222656,0
53365.913496611,1,A,144.7275390625,143.00645446777344,173.6060028076172,155.90341186523438,0
53365.913904714,1,A,128.67898559570312,143.72171020507812,209.27938842773438,135.6080322265625,0
53365.914992949,1,A,118.97833251953125,146.5380401611328,222.10928344726562,192.64968872070312,0
53365.915405001,1,A,76.28650665283203,85.11544036865234,189.2969207763672,179.77508544921875,0
53365.916491177,1,A,141.06185913085938,123.11341094970703,246.2938690185547,149.19789123535156,0
53365.917029978,1,A,70.78797149658203,122.0852279663086,202.61856079101562,191.21917724609375,0
53365.918197855,1,A,73.87251281738281,101.25340270996094,208.34060668945312,144.280517578125,0
53365.918620392,1,A,89.1611099243164,122.84518432617188,209.14527893066406,203.55734252929688,0
53365.961173679,1,A,175.9305877685547,88.28939056396484,202.30563354492188,155.4563751220703,0
53365.961657952,1,A,145.53221130371094,137.41851806640625,217.99656677246094,171.46023559570312,0
53365.963005256,1,A,139.94427490234375,140.63717651367188,235.7438507080078,169.13565063476562,0
53365.963486913,1,A,87.90940856933594,106.7519302368164,209.6817169189453,185.0948028564453,0
53366.010662823,1,A,125.46034240722656,77.87347412109375,193.0967254638672,161.22312927246094,0
53366.011091541,1,A,120.45355224609375,180.28916931152344,240.08009338378906,136.72561645507812,0
53366.012175882,1,A,79.2816390991211,91.06100463867188,228.59129333496094,110.66349029541016,0
53366.012574622,1,A,110.79759979248047,85.51777648925781,229.53005981445312,162.87716674804688,0
53366.01433024,1,A,113.70332336425781,87.30591583251953,252.41824340820312,194.2143096923828,0
53366.015056795,1,A,124.61097717285156,92.71503448486328,179.14923095703125,129.885986328125,0
53366.016415078,1,A,120.67707061767578,137.95497131347656,166.72166442871094,140.07838439941406,0
53366.016896682,1,A,198.72935485839844,107.86952209472656,242.5387725830078,131.40589904785156,0
53366.060941769,1,A,112.58573913574219,103.66738891601562,238.73898315429688,145.04046630859375,0
53366.061462729,1,A,106.86369323730469,141.30772399902344,185.67593383789062,63.41189956665039,0
53366.062704049,1,A,118.08426666259766,82.12030792236328,161.26783752441406,166.4534454345703,0
53366.063154267,1,A,124.52156829833984,165.8946533203125,236.50381469726562,155.99282836914062,0
53366.064319115,1,A,131.584716796875,86.2330322265625,200.69631958007812,145.1298828125,0
53366.06478577,1,A,111.78107452392578,56.5499153137207,183.08314514160156,151.9248046875,0
53366.065991918,1,A,103.28741455078125,107.19896697998047,210.79930114746094,223.4503936767578,0
53366.066466534,1,A,72.0396728515625,145.95689392089844,249.19960021972656,127.5167007446289,0
53366.067671681,1,A,96.31366729736328,126.15324401855469,221.17051696777344,138.24554443359375,0
53366.068260608,1,A,76.8676528930664,77.64996337890625,201.05393981933594,171.86256408691406,0
53366.110636339,1,A,178.34457397460938,79.12517547607422,224.12094116210938,118.84422302246094,0
