timestamps,words,terms,,,,,Marker
3192.694162542,1,A,75028.6171875,380.5384521484375,248.6631622314453,101438.1640625,0
3192.696059026,1,A,76440.171875,359.974853515625,274.5464782714844,103825.8203125,0
3192.701655644,1,A,74588.953125,347.99432373046875,192.02383422851562,101432.171875,0
3192.703585944,1,A,79091.3125,281.3861083984375,174.6788787841797,105256.734375,0
3192.709011316,1,A,78430.1484375,325.1061096191406,283.4424743652344,105832.78125,0
3192.710579471,1,A,74599.6875,368.066162109375,288.49395751953125,100443.8203125,0
3192.742122428,1,A,72903.1015625,347.7707824707031,241.1976776123047,98281.5625,0
3192.74292802,1,A,77277.6484375,358.8572692871094,229.7535858154297,102295.84375,0
3192.74498119,1,A,75532.109375,268.55621337890625,246.11505126953125,100015.3359375,0
3192.745663313,1,A,79929.6796875,302.2179260253906,188.31344604492188,103921.125,0
3192.747586342,1,A,79492.3046875,356.8456115722656,362.8805847167969,104365.8359375,0
3192.748147565,1,A,75653.65625,304.9448547363281,302.1732482910156,98842.40625,0
3192.792256287,1,A,78503.1953125,327.02838134765625,283.6659851074219,103254.328125,0
3192.79272192,1,A,80865.7734375,326.62603759765625,273.7418212890625,105170.234375,0
3192.793782971,1,A,76022.90625,292.5619812011719,262.118896484375,99824.5859375,0
3192.79428152,1,A,77427.7578125,333.8680114746094,314.4219970703125,101977.953125,0
3192.893760963,1,A,81638.875,321.6639404296875,235.7438507080078,104908.9375,0
3192.895401877,1,A,77510.8671875,285.9905700683594,273.3394775390625,102142.640625,0
3192.90007055,1,A,77015.546875,377.8562316894531,366.9932861328125,102718.6484375,0
3192.901735415,1,A,73123.265625,358.32080078125,377.7221374511719,97319.2265625,0
3192.906583362,1,A,76029.484375,329.7105712890625,330.42584228515625,101641.296875,0
3192.908142809,1,A,78437.8828125,327.2966003417969,357.6055603027344,103641.28125,0
3192.944371639,1,A,73575.703125,392.51898193359375,356.8902893066406,98274.5390625,0
3192.946674777,1,A,74769.421875,342.182861328125,382.8183288574219,100301.7578125,0
3192.95016042,1,A,73094.0234375,434.27203369140625,374.5928955078125,97936.9375,0
3192.950994183,1,A,76848.5859375,309.23638916015625,367.2615051269531,101988.5546875,0
3192.952456494,1,A,76647.375,445.5373229980469,425.33135986328125,102446.4921875,0
3192.953053047,1,A,72751.109375,431.3216247558594,319.294677734375,96957.484375,0
3192.955197531,1,A,77071.515625,380.4937438964844,246.83030700683594,100964.9296875,0
3192.955739748,1,A,76607.3203125,445.7608337402344,380.1361083984375,101555.640625,0
3192.992381164,1,A,72673.765625,399.6268310546875,351.1235656738281,95976.828125,0
3192.993011495,1,A,75630.3203125,461.5411682128906,339.4559326171875,100329.25,0
3192.994218669,1,A,77931.9296875,450.0076599121094,364.6239929199219,102451.9921875,0
3192.9946069,1,A,73063.046875,412.1885070800781,366.9485778808594,97024.9921875,0
3192.99566265,1,A,77330.53125,351.2576599121094,314.73492431640625,101108.203125,0
3192.996032729,1,A,76926.453125,469.1854553222656,391.89312744140625,101802.2265625,0
3192.997212295,1,A,72940.25,397.39166259765625,363.8640441894531,96233.828125,0
3192.997583226,1,A,75813.921875,414.4237060546875,338.0254211425781,100479.71875,0
3193.093866256,1,A,78263.046875,404.8571472167969,301.7261962890625,102522.984375,0
3193.09550358,1,A,73344.5,441.24578857421875,341.1099853515625,97257.3984375,0
3193.100148312,1,A,74613.0078125,395.91644287109375,323.7650146484375,99118.859375,0
3193.101802122,1,A,79040.9296875,396.6317138671875,282.861328125,102144.078125,0
3193.106544568,1,A,82942.1171875,333.82330322265625,281.16259765625,106433.8203125,0
3193.108116656,1,A,82496.0234375,462.3905334472656,317.1488952636719,106778.9765625,0
3193.112849927,1,A,78728.9453125,390.90966796875,283.2189636230469,101306.5546875,0
3193.114415759,1,A,81488.2265625,423.3643798828125,332.97393798828125,105525.8515625,0
3193.118711688,1,A,84034.0,412.8143615722656,296.2723693847656,107633.21875,0
3193.120274117,1,A,79082.328125,416.88238525390625,318.75823974609375,102357.4921875,0
3193.141996055,1,A,80482.9296875,424.839599609375,313.1702880859375,104202.2265625,0
3193.142828794,1,A,84651.9375,436.7307434082031,295.4230041503906,107338.484375,0
3193.144878712,1,A,88895.7734375,389.0768127441406,271.2384338378906,111289.6484375,0
3193.145588857,1,A,88484.3671875,538.2076416015625,283.710693359375,111839.1015625,0
3193.147584691,1,A,84771.9609375,492.11834716796875,347.59197998046875,106601.1875,0
3193.148145864,1,A,87512.5546875,458.9483642578125,264.219970703125,110665.765625,0
3193.192475628,1,A,89951.265625,485.9939880371094,275.57464599609375,112810.328125,0
3193.19344006,1,A,85028.46875,472.0911865234375,317.10418701171875,107571.4375,0
3193.195284102,1,A,86515.3125,487.111572265625,336.9078369140625,109654.796875,0
3193.195793499,1,A,90582.7890625,458.7695617675781,287.82342529296875,112486.6328125,0
3193.394053226,1,A,86474.453125,484.07171630859375,334.22564697265625,109935.3984375,0
3193.395204043,1,A,84724.3515625,471.6888732910156,316.65716552734375,107364.859375,0
3193.49458727,1,A,88953.484375,394.5306396484375,268.9138488769531,111490.7734375,0
3193.496037595,1,A,88678.6484375,550.9481201171875,374.2352600097656,112039.7734375,0
3193.500015473,1,A,84708.171875,493.1018371582031,340.2606201171875,106483.1328125,0
3193.50140429,1,A,87643.8046875,469.2748718261719,335.1643981933594,110761.296875,0
3193.593856045,1,A,90072.59375,407.8075866699219,362.0758972167969,112874.34375,0
3193.595306804,1,A,85015.375,444.5091552734375,343.2557373046875,107682.5234375,0
3193.59917324,1,A,88623.8359375,369.22845458984375,367.7979431152344,111863.953125,0
3193.600374518,1,A,88461.1640625,473.6111145019531,433.82501220703125,112517.609375,0
3193.604035949,1,A,92493.4609375,395.29058837890625,398.9115905761719,116626.171875,0
3193.60538556,1,A,92329.625,483.7588195800781,478.6178894042969,117272.046875,0
3193.61085368,1,A,88450.03125,519.8792114257812,445.3585205078125,111823.8515625,0
3193.612976727,1,A,91119.3671875,433.2438659667969,446.96783447265625,115930.8515625,0
3193.618412748,1,A,95255.375,445.5373229980469,362.0758972167969,120173.4375,0
