timestamps,words,terms,,,,,Marker
53180.311065096,1,A,13.656915664672852,216.4766387939453,216.9683837890625,-25.8609676361084,0
53180.31183213,1,A,-10.438264846801758,175.48355102539062,195.33189392089844,-49.28559494018555,0
53180.313667065,1,A,-26.352706909179688,211.42515563964844,181.8761444091797,6.996096134185791,0
53180.314423347,1,A,-72.75492858886719,190.9956512451172,170.38734436035156,-25.59274673461914,0
53180.317545611,1,A,-16.83086395263672,195.0189666748047,166.3193359375,18.931926727294922,0
53180.318467826,1,A,-24.385753631591797,175.26002502441406,145.39810180664062,-17.68022918701172,0
53180.320186382,1,A,-37.439170837402344,183.6195831298828,128.36607360839844,-13.746322631835938,0
53180.320804578,1,A,-35.606327056884766,199.57872009277344,127.5167007446289,-34.9804801940918,0
53180.322564269,1,A,-48.12330627441406,179.05982971191406,208.6982421875,-4.09036922454834,0
53180.323213462,1,A,-83.39435577392578,176.86935424804688,140.30189514160156,-75.61595153808594,0
53180.324589658,1,A,-83.17083740234375,186.70411682128906,117.45841979980469,14.23806095123291,0
53180.324978839,1,A,17.23319435119629,222.1986846923828,215.44847106933594,12.896956443786621,0
53180.360285958,1,A,-14.774502754211426,236.41439819335938,169.5826873779297,1.452863335609436,0
53180.360727038,1,A,-21.480026245117188,208.29591369628906,174.18714904785156,-34.22052001953125,0
53180.361740965,1,A,-53.8006477355957,169.31446838378906,189.47573852539062,-31.672422409057617,0
53180.362149372,1,A,-56.34874725341797,176.55642700195312,167.12399291992188,8.96304988861084,0
53180.363116642,1,A,-62.33901596069336,206.77598571777344,135.11630249023438,-4.760921478271484,0
53180.363480804,1,A,-27.023258209228516,209.4134979248047,152.23773193359375,-9.007753372192383,0
53180.364448258,1,A,16.96497344970703,169.8061981201172,196.31536865234375,0.5587936043739319,0
53180.364810302,1,A,-56.035823822021484,161.71487426757812,105.61199188232422,-26.93385124206543,0
53180.412393288,1,A,-11.06411361694336,270.9255065917969,209.23468017578125,30.778352737426758,0
53180.413715584,1,A,-21.65884017944336,234.31333923339844,166.49813842773438,9.72300910949707,0
53180.417268687,1,A,-31.761829376220703,193.5884552001953,205.6136932373047,-15.981496810913086,0
53180.418594746,1,A,-6.68317174911499,137.48558044433594,179.462158203125,57.108707427978516,0
53180.421952497,1,A,-15.5791654586792,178.4786834716797,187.7322998046875,-9.454788208007812,0
53180.423205511,1,A,-28.900806427001953,218.7565155029297,156.48455810546875,19.110740661621094,0
53180.426448612,1,A,-61.48965072631836,184.6924591064453,119.9618148803711,-74.63247680664062,0
53180.427656801,1,A,-72.0396728515625,199.48931884765625,107.8918685913086,34.22052001953125,0
53180.431241329,1,A,-7.219613552093506,141.91122436523438,140.1230926513672,7.085503101348877,0
53180.432960437,1,A,-86.7024154663086,133.0599365234375,107.08720397949219,-44.81524658203125,0
53180.436260096,1,A,-45.08346939086914,214.06265258789062,177.40579223632812,28.364364624023438,0
53180.437362442,1,A,-39.36142349243164,243.07522583007812,198.77406311035156,51.2972526550293,0
53180.461132664,1,A,-79.86278533935547,212.49803161621094,135.87625122070312,-29.12432289123535,0
53180.461813755,1,A,-55.85700988769531,161.3125457763672,121.34761810302734,28.900806427001953,0
53180.463317052,1,A,-55.767601013183594,182.7702178955078,154.56231689453125,45.84342956542969,0
53180.463788903,1,A,-70.5197525024414,184.64776611328125,179.73037719726562,-4.269183158874512,0
53180.465169576,1,A,-37.4838752746582,197.5670623779297,217.63893127441406,-64.26126861572266,0
53180.46566189,1,A,-39.36142349243164,204.6749267578125,156.573974609375,0.7376075387001038,0
53180.466956008,1,A,25.19041633605957,195.8683319091797,173.56129455566406,41.14956283569336,0
53180.467422385,1,A,-100.20287322998047,193.3202362060547,157.82566833496094,-46.15635299682617,0
